event_date,run_date,ticker,session,run,impact_sum,conviction,above_floor,n_findings,n_clusters,hunters,priced_lean_pct,runup_20d_pct,runup_5d_pct,implied_move_pct,implied_basis,deadband_pct,hist_median_abs_move_pct,hist_n,baseline_quality,spot,dollar_vol_20d,entry_date,exit_date,move_pct,move_over_implied,sign_agreed,abs_error_pts,resolved
2026-09-10,2026-09-09,TEN,bmo,research/2026/09/2026-09-09/edge,1.3,1.3,0,5,4,1,-0.707,14.13,1.89,1.62,history_proxy,1.5,1.62,5,0.583,43.63,10252265,2026-09-09,2026-09-10,0.36,0.222,1,0.94,1
2026-09-09,2026-09-09,LMNR,amc,research/2026/09/2026-09-09/edge,0.0,0.0,0,4,3,1,-0.383,7.65,5.98,6.12,straddle,3.46,6.93,7,0.472,15.06,931356,2026-09-09,2026-09-10,-10.74,-1.755,,10.74,1
2026-09-09,2026-09-09,AEO,amc,research/2026/09/2026-09-09/edge,-1.0,1.0,0,3,3,1,-4.399,-0.78,3.89,13.33,straddle,2.75,,0,0.33,17.225,85524812,2026-09-09,2026-09-10,-15.48,-1.161,1,14.48,1
2026-09-10,2026-09-09,M,bmo,research/2026/09/2026-09-09/edge,-1.1,1.1,0,2,2,1,6.076,-8.14,2.71,7.73,straddle,1.5,0.97,8,0.731,22.525,115659613,2026-09-09,2026-09-10,-4.3,-0.556,1,3.2,1
2026-09-10,2026-09-09,IMPP,bmo,research/2026/09/2026-09-09/edge,-2.0,2.0,0,4,3,1,-0.889,17.77,-2.29,2.51,history_proxy,1.5,2.51,8,0.24,5.335,1995135,2026-09-09,2026-09-10,3.17,1.263,0,5.17,1
2026-09-09,2026-09-09,LAKE,amc,research/2026/09/2026-09-09/edge,-2.7,2.7,0,4,2,1,0.338,-6.75,-3.49,,,2.39,,0,0.0,11.33,553867,2026-09-09,2026-09-10,-10.3,,1,7.6,1
2026-09-09,2026-09-09,LSAK,amc,research/2026/09/2026-09-09/edge,-2.7,2.7,0,3,2,1,0.269,-5.38,2.24,2.5,history_proxy,1.5,2.5,8,0.4,4.57,380667,2026-09-09,2026-09-10,-3.92,-1.568,1,1.22,1
2026-09-09,2026-09-09,SKIL,amc,research/2026/09/2026-09-09/edge,-3.0,3.0,1,4,2,1,1.461,-29.22,1.99,13.7,history_proxy,6.85,13.7,7,0.4,6.66,294578,2026-09-09,2026-09-10,-32.15,-2.347,1,29.15,1
2026-09-10,2026-09-09,SHOE,bmo,research/2026/09/2026-09-09/edge,-3.5,3.5,1,4,2,1,0.758,-15.16,4.13,,,3.29,,0,0.0,13.37,10545788,2026-09-09,2026-09-10,-6.07,,1,2.57,1
2026-09-09,2026-09-09,GLOO,amc,research/2026/09/2026-09-09/edge,-4.0,4.0,1,5,4,1,0.188,-3.76,6.73,4.48,history_proxy,2.24,4.48,4,0.16,3.33,347439,2026-09-09,2026-09-10,-5.4,-1.205,1,1.4,1
2026-09-10,2026-09-09,MCFT,bmo,research/2026/09/2026-09-09/edge,-4.0,4.0,1,3,3,1,0.31,-6.2,0.61,8.01,history_proxy,4.0,8.01,6,0.4,23.15,3731248,2026-09-09,2026-09-10,-10.03,-1.252,1,6.03,1
2026-09-10,2026-09-09,YB,bmo,research/2026/09/2026-09-09/edge,-4.5,4.5,1,4,3,1,0.135,-2.69,-1.98,10.07,history_proxy,5.04,10.07,5,0.333,13.36,308830,2026-09-09,2026-09-10,3.57,0.355,0,8.07,1
2026-09-09,2026-09-09,KEQU,amc,research/2026/09/2026-09-09/edge,-5.0,5.0,1,4,3,1,0.026,-0.52,-4.41,13.08,history_proxy,6.54,13.08,7,0.4,36.01,74649,2026-09-09,2026-09-10,-1.8,-0.138,1,3.2,1
2026-09-09,2026-09-09,WLTH,amc,research/2026/09/2026-09-09/edge,-10.5,10.5,1,9,8,2,-0.028,0.57,8.97,14.35,history_proxy,7.17,14.35,3,0.2,9.655,12354490,2026-09-09,2026-09-10,13.85,0.965,0,24.35,1
2026-09-11,2026-09-10,HOFT,bmo,research/2026/09/2026-09-10/edge,7.3,7.3,1,3,2,1,0.832,-16.64,-2.82,10.74,history_proxy,5.37,10.74,7,0.4,12.42,441196,,,,,,,0
2026-09-10,2026-09-10,RH,amc,research/2026/09/2026-09-10/edge,3.0,3.0,1,3,2,1,-10.968,-23.12,-6.17,11.8,straddle,3.46,6.93,7,0.656,138.57,82975300,,,,,,,0
2026-09-10,2026-09-10,ZUMZ,amc,research/2026/09/2026-09-10/edge,2.5,2.5,0,4,2,1,0.418,-8.37,-5.04,,,2.31,,0,0.25,17.245,3099858,,,,,,,0
2026-09-11,2026-09-10,MNY,bmo,research/2026/09/2026-09-10/edge,2.0,2.0,0,3,2,1,0.508,-10.16,-1.18,1.5,history_proxy,1.5,1.5,8,0.24,0.84,9610,,,,,,,0
2026-09-10,2026-09-10,DSGX,amc,research/2026/09/2026-09-10/edge,1.3,1.3,0,4,3,1,0.21,-4.19,-5.25,2.21,history_proxy,1.5,2.21,8,0.39,74.37,44244944,,,,,,,0
2026-09-10,2026-09-10,IBEX,amc,research/2026/09/2026-09-10/edge,1.2,1.2,0,5,3,1,-0.323,6.46,-3.95,10.86,history_proxy,5.43,10.86,7,0.4,37.4,3705555,,,,,,,0
2026-09-10,2026-09-10,LPTH,amc,research/2026/09/2026-09-10/edge,0.4,0.4,0,3,2,1,-0.211,-27.9,3.77,3.49,straddle,4.17,8.33,7,0.871,9.9,33763118,,,,,,,0
2026-09-11,2026-09-10,CMCM,bmo,research/2026/09/2026-09-10/edge,-1.0,1.0,0,4,3,1,-0.778,15.56,7.72,8.8,history_proxy,4.4,8.8,8,0.24,3.49,19233,,,,,,,0
2026-09-10,2026-09-10,CSBR,amc,research/2026/09/2026-09-10/edge,-2.0,2.0,0,4,1,1,-0.262,5.24,1.16,11.64,history_proxy,5.82,11.64,7,0.4,5.2095,49225,,,,,,,0
2026-09-10,2026-09-10,ADBE,amc,research/2026/09/2026-09-10/edge,-2.2,2.2,0,3,3,1,6.688,-2.66,-9.98,8.8,straddle,3.38,6.76,7,0.926,251.87,1064581448,,,,,,,0
2026-09-11,2026-09-10,KR,bmo,research/2026/09/2026-09-10/edge,-2.3,2.3,0,4,3,1,0.821,1.5,-2.27,5.95,straddle,1.9,3.8,8,0.825,56.9,314441861,,,,,,,0
2026-09-10,2026-09-10,CPRT,amc,research/2026/09/2026-09-10/edge,-2.7,2.7,0,2,2,1,0.555,10.81,-0.11,4.76,straddle,1.5,2.8,7,0.934,32.125,303753954,,,,,,,0
2026-09-10,2026-09-10,ORCL,amc,research/2026/09/2026-09-10/edge,-3.2,3.2,1,2,2,1,4.281,2.8,8.11,11.65,straddle,4.59,9.18,7,0.985,157.57,3397117809,,,,,,,0
2026-09-10,2026-09-10,FEIM,amc,research/2026/09/2026-09-10/edge,-3.5,3.5,1,4,2,1,-0.833,-18.78,7.67,14.37,straddle,7.83,15.65,7,0.65,63.6,13238849,,,,,,,0
2026-09-10,2026-09-10,REF,amc,research/2026/09/2026-09-10/edge,-3.5,3.5,1,4,1,1,0.747,-14.93,-4.46,,,3.69,,0,0.0,13.5,4402890,,,,,,,0
2026-09-10,2026-09-10,AENT,amc,research/2026/09/2026-09-10/edge,-7.5,7.5,1,5,3,1,0.242,-4.85,5.45,13.79,history_proxy,6.89,13.79,5,0.333,5.3,96168,,,,,,,0
2026-09-11,2026-09-10,RENT,bmo,research/2026/09/2026-09-10/edge,-8.5,8.5,1,4,2,1,1.171,-23.42,-28.46,18.18,history_proxy,9.09,18.18,7,0.4,2.7187,173426,,,,,,,0
